Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
A'Shawn Robinson,21.209,DL,DET,2016-10-16,Sun,2016,6,6.0,Home,LAR,W 31-28,3.0,24.0,24.0,Questionable,shoulder
A'Shawn Robinson,21.216,DL,DET,2016-10-23,Sun,2016,7,7.0,Home,WAS,W 20-17,1.5,26.0,26.0,,
A'Shawn Robinson,21.223,DL,DET,2016-10-30,Sun,2016,8,8.0,Away,HOU,L 13-20,9.75,25.0,25.0,,
A'Shawn Robinson,21.23,DL,DET,2016-11-06,Sun,2016,9,9.0,Away,MIN,W 22-16,3.0,31.0,31.0,,
A'Shawn Robinson,21.244,DL,DET,2016-11-20,Sun,2016,11,10.0,Home,JAX,W 26-19,5.0,25.0,25.0,,
A'Shawn Robinson,21.248,DL,DET,2016-11-24,Thu,2016,12,11.0,Home,MIN,W 16-13,3.0,29.0,29.0,,
A'Shawn Robinson,21.258,DL,DET,2016-12-04,Sun,2016,13,12.0,Away,NOR,W 28-13,4.5,13.0,13.0,,
A'Shawn Robinson,21.265,DL,DET,2016-12-11,Sun,2016,14,13.0,Home,CHI,W 20-17,3.0,23.0,23.0,,
A'Shawn Robinson,21.272,DL,DET,2016-12-18,Sun,2016,15,14.0,Away,NYG,L 6-17,3.0,27.0,27.0,,
A'Shawn Robinson,21.28,DL,DET,2016-12-26,Mon,2016,16,15.0,Away,DAL,L 21-42,6.5,39.0,39.0,,
A'Shawn Robinson,21.286,DL,DET,2017-01-01,Sun,2016,17,16.0,Home,GNB,L 24-31,7.25,40.0,40.0,,
AJ Derby,,TE,DEN,2016-12-25,Sun,2016,16,15.0,Away,KAN,L 10-33,,,,Out,concussion
AJ Derby,,TE,DEN,2017-01-01,Sun,2016,17,16.0,Home,OAK,W 24-6,,,,Out,concussion
AJ Green,,WR,CIN,2016-11-27,Sun,2016,12,11.0,Away,BAL,L 14-19,,,,Out,hamstring
AJ Green,,WR,CIN,2016-12-04,Sun,2016,13,12.0,Home,PHI,W 32-14,,,,Out,hamstring
AJ Green,,WR,CIN,2016-12-11,Sun,2016,14,13.0,Away,CLE,W 23-10,,,,Out,hamstring
AJ Green,,WR,CIN,2016-12-18,Sun,2016,15,14.0,Home,PIT,L 20-24,,,,Doubtful,hamstring
AJ Green,,WR,CIN,2016-12-24,Sat,2016,16,15.0,Away,HOU,L 10-12,,,,Injured Reserve,Hamstring
AJ Green,,WR,CIN,2017-01-01,Sun,2016,17,16.0,Home,BAL,W 27-10,,,,Out,hamstring
Aaron Colvin,25.035,DB,JAX,2016-11-06,Sun,2016,9,8.0,Away,KAN,L 14-19,9.0,34.0,34.0,Questionable,calf
Aaron Colvin,25.042,DB,JAX,2016-11-13,Sun,2016,10,9.0,Home,HOU,L 21-24,7.5,26.0,26.0,,
Aaron Colvin,25.049,DB,JAX,2016-11-20,Sun,2016,11,10.0,Away,DET,L 19-26,3.0,4.0,4.0,,
Aaron Colvin,25.056,DB,JAX,2016-11-27,Sun,2016,12,11.0,Away,BUF,L 21-28,0.0,25.0,25.0,Questionable,concussion
Aaron Colvin,25.063,DB,JAX,2016-12-04,Sun,2016,13,12.0,Home,DEN,L 10-20,1.5,27.0,27.0,,
