Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury,Healthy_Week
A'Shawn Robinson,24.171,DL,DET,2019-09-08,Sun,2019,1,1.0,Away,ARI,T 27-27,4.5,39.0,0.44,,,1
A'Shawn Robinson,24.178,DL,DET,2019-09-15,Sun,2019,2,2.0,Home,LAC,W 13-10,7.25,29.0,0.45,,,2
A'Shawn Robinson,24.185,DL,DET,2019-09-22,Sun,2019,3,3.0,Away,PHI,W 27-24,9.0,44.0,0.59,,,3
A'Shawn Robinson,24.192,DL,DET,2019-09-29,Sun,2019,4,4.0,Home,KAN,L 30-34,8.5,46.0,0.68,,,4
A'Shawn Robinson,,,,,,2019,5,,,,,,,,,,5
AJ Bouye,28.023,DB,JAX,2019-09-08,Sun,2019,1,1.0,Home,KAN,L 26-40,4.5,68.0,0.99,,,1
AJ Cole,23.286,P,OAK,2019-09-09,Mon,2019,1,1.0,Home,DEN,W 24-16,0.0,,,,,1
AJ Klein,28.041,LB,NOR,2019-09-09,Mon,2019,1,1.0,Home,HOU,W 30-28,6.0,48.0,0.75,,,1
AJ Klein,28.047,LB,NOR,2019-09-15,Sun,2019,2,2.0,Away,LAR,L 9-27,5.25,53.0,0.79,,,2
AJ Klein,28.054,LB,NOR,2019-09-22,Sun,2019,3,3.0,Away,SEA,W 33-27,9.5,83.0,0.99,,,3
AJ Klein,28.061,LB,NOR,2019-09-29,Sun,2019,4,4.0,Home,DAL,W 12-10,11.5,55.0,0.95,,,4
AJ Klein,28.068,LB,NOR,2019-10-06,Sun,2019,5,5.0,Home,TAM,W 31-24,9.5,51.0,0.89,,,5
AJ Klein,28.075,LB,NOR,2019-10-13,Sun,2019,6,6.0,Away,JAX,W 13-6,6.75,57.0,0.98,,,6
AJ Klein,28.082,LB,NOR,2019-10-20,Sun,2019,7,7.0,Away,CHI,W 36-25,8.5,32.0,0.5,,,7
AJ Klein,28.089,LB,NOR,2019-10-27,Sun,2019,8,8.0,Home,ARI,W 31-9,6.0,39.0,0.8,,,8
AJ Klein,,,,,,2019,9,,,,,,,,,,9
AJ Klein,28.103,LB,NOR,2019-11-10,Sun,2019,10,9.0,Home,ATL,L 9-26,11.0,65.0,0.86,,,10
AJ Klein,28.11,LB,NOR,2019-11-17,Sun,2019,11,10.0,Away,TAM,W 34-17,4.5,28.0,0.42,,,11
AJ Klein,28.117,LB,NOR,2019-11-24,Sun,2019,12,11.0,Home,CAR,W 34-31,5.0,42.0,0.56,,,12
AJ Klein,,LB,NOR,2019-11-28,Thu,2019,13,12.0,Away,ATL,W 26-18,,33.0,0.36,,,13
AQ Shipley,,,,,,2019,1,,,,,,,,,,1
AQ Shipley,,,,,,2019,2,,,,,,,,,,2
AQ Shipley,,,,,,2019,3,,,,,,,,,,3
AQ Shipley,,,,,,2019,4,,,,,,,,,,4
AQ Shipley,,,,,,2019,5,,,,,,,,,,5
AQ Shipley,,,,,,2019,6,,,,,,,,,,6
AQ Shipley,,,,,,2019,7,,,,,,,,,,7
AQ Shipley,,,,,,2019,8,,,,,,,,,,8
AQ Shipley,,,,,,2019,9,,,,,,,,,,9
AQ Shipley,,,,,,2019,10,,,,,,,,,,10
AQ Shipley,,,,,,2019,11,,,,,,,,,,11
AQ Shipley,,,,,,2019,12,,,,,,,,,,12
AQ Shipley,,,,,,2019,13,,,,,,,,,,13
Aaron Donald,28.108,DL,LAR,2019-09-08,Sun,2019,1,1.0,Away,CAR,W 30-27,1.5,55.0,0.83,,,1
Aaron Donald,28.115,DL,LAR,2019-09-15,Sun,2019,2,2.0,Home,NOR,W 27-9,3.5,50.0,0.79,,,2
Adam Gotsis,26.351,DL,DEN,2019-09-09,Mon,2019,1,1.0,Away,OAK,L 16-24,5.0,30.0,0.55,,,1
Adam Gotsis,26.357,DL,DEN,2019-09-15,Sun,2019,2,2.0,Home,CHI,L 14-16,1.5,32.0,0.52,,,2
